city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zeghanghane,35.1500,-3.0000,Morocco,MA,Oriental,,34025,34025
Imzouren,35.1500,-3.8500,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,33852,33852
Tit Mellil,33.5533,-7.4822,Morocco,MA,Casablanca-Settat,,32782,32782
Mechraa Bel Ksiri,34.5600,-5.9500,Morocco,MA,Rabat-Salé-Kénitra,,31497,31497
Al ’Attawia,31.8347,-7.3125,Morocco,MA,Marrakech-Safi,,30315,30315
Demnat,31.7311,-7.0361,Morocco,MA,Béni Mellal-Khénifra,,29504,29504
Arfoud,31.4361,-4.2328,Morocco,MA,Drâa-Tafilalet,,29279,29279
Tameslouht,31.5000,-8.1000,Morocco,MA,Marrakech-Safi,,28978,28978
Bou Arfa,32.5309,-1.9650,Morocco,MA,Oriental,,28846,28846
Sidi Smai’il,32.8167,-8.5000,Morocco,MA,Casablanca-Settat,,28733,28733
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,MA,Rabat-Salé-Kénitra,,28681,28681
Mehdya,34.2597,-6.6500,Morocco,MA,Rabat-Salé-Kénitra,,28636,28636
Aïn Taoujdat,33.9333,-5.2167,Morocco,MA,Fès-Meknès,,28288,28288
Chichaoua,31.5333,-8.7667,Morocco,MA,Marrakech-Safi,,27869,27869
Tahla,34.0500,-4.4200,Morocco,MA,Fès-Meknès,,27729,27729
Oulad Yaïch,32.4167,-6.3333,Morocco,MA,Béni Mellal-Khénifra,,27476,27476
Moulay Bousselham,34.8786,-6.2933,Morocco,MA,Rabat-Salé-Kénitra,,26608,26608
Iheddadene,35.1500,-2.9667,Morocco,MA,Oriental,,26582,26582
Missour,33.0500,-3.9833,Morocco,MA,Fès-Meknès,,25584,25584
Zawyat ech Cheïkh,32.6414,-5.9206,Morocco,MA,Béni Mellal-Khénifra,,25388,25388
Bouknadel,34.1333,-6.7333,Morocco,MA,Rabat-Salé-Kénitra,,25255,25255
Oulad Tayeb,33.9598,-4.9954,Morocco,MA,Fès-Meknès,,24594,24594
Oulad Barhil,30.6408,-8.4750,Morocco,MA,Souss-Massa,,24288,24288
Bir Jdid,33.3737,-8.0002,Morocco,MA,Casablanca-Settat,,24136,24136
Tifariti,26.1580,-10.5670,Morocco,MA,Laâyoune-Sakia El Hamra,primary,3000,3000
